id	cui	judgment	target	weight	source	label	query	why
paragraph_134	C0003211	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_134	C0012291	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_134	C0024480	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_134	C0075632	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_134	C0154723	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_134	C0242702	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_134	C0338480	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_134	C0338489	expected	3	3	paragraph_expected		Status migrainosus is one of the recognized complications of migraine with or without aura, defined as a persistent debilitating migraine attack lasting for more than 72 hours with little reprieve, leading to functional disability. Treatment options include subcutaneous sumatriptan, parenteral dopamine receptor antagonists, nonsteroidal anti-inflammatories, acetaminophen, magnesium sulfate, dihydroergotamine, antiepileptics, corticosteroids, and anesthetic agents.	Status migrainosus paragraph should retrieve status migrainosus, migraine with aura, migraine without aura, sumatriptan, dopamine receptor antagonists, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine from long prose.
paragraph_135	C0008031	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Chest Pain		Explicit pleuritic chest pain symptom concept.
paragraph_135	C0013404	expected	3	3	paragraph_expected		Search: pleuritic chest pain and dyspnea after long flight. CT angiography showed pulmonary embolism and leg ultrasound found deep vein thrombosis, so apixaban was started.	Pulmonary embolism search paragraph should retrieve pulmonary embolism, dyspnea, CT angiography, DVT, and apixaban.
paragraph_135	C0034065	expected	3	3	paragraph_expected		Search: pleuritic chest pain and dyspnea after long flight. CT angiography showed pulmonary embolism and leg ultrasound found deep vein thrombosis, so apixaban was started.	Pulmonary embolism search paragraph should retrieve pulmonary embolism, dyspnea, CT angiography, DVT, and apixaban.
paragraph_135	C0149871	expected	3	3	paragraph_expected		Search: pleuritic chest pain and dyspnea after long flight. CT angiography showed pulmonary embolism and leg ultrasound found deep vein thrombosis, so apixaban was started.	Pulmonary embolism search paragraph should retrieve pulmonary embolism, dyspnea, CT angiography, DVT, and apixaban.
paragraph_135	C1536105	expected	3	3	paragraph_expected		Search: pleuritic chest pain and dyspnea after long flight. CT angiography showed pulmonary embolism and leg ultrasound found deep vein thrombosis, so apixaban was started.	Pulmonary embolism search paragraph should retrieve pulmonary embolism, dyspnea, CT angiography, DVT, and apixaban.
paragraph_135	C1831808	expected	3	3	paragraph_expected		Search: pleuritic chest pain and dyspnea after long flight. CT angiography showed pulmonary embolism and leg ultrasound found deep vein thrombosis, so apixaban was started.	Pulmonary embolism search paragraph should retrieve pulmonary embolism, dyspnea, CT angiography, DVT, and apixaban.
paragraph_135	C2926613	true_false_positive	-2	4	precision_audit_review	Chest pain		Generic clinical-attribute chest pain duplicate; disease/symptom CUI carries useful pleuritic chest pain meaning.
paragraph_136	C0003537	expected	3	3	paragraph_expected		Search: acute ischemic stroke with aphasia and right facial droop. CT angiography showed large vessel occlusion, tenecteplase was given, and mechanical thrombectomy was planned.	Stroke search paragraph should retrieve ischemic stroke, aphasia, facial droop, CT angiography, tenecteplase, and mechanical thrombectomy.
paragraph_136	C0427055	expected	3	3	paragraph_expected | useful_extra_config | precision_audit_review	Facial Paresis	Search: acute ischemic stroke with aphasia and right facial droop. CT angiography showed large vessel occlusion, tenecteplase was given, and mechanical thrombectomy was planned.	Stroke search paragraph should retrieve ischemic stroke, aphasia, facial droop, CT angiography, tenecteplase, and mechanical thrombectomy. | Explicit facial droop/paresis in stroke paragraph.
paragraph_136	C0872913	expected	3	3	paragraph_expected		Search: acute ischemic stroke with aphasia and right facial droop. CT angiography showed large vessel occlusion, tenecteplase was given, and mechanical thrombectomy was planned.	Stroke search paragraph should retrieve ischemic stroke, aphasia, facial droop, CT angiography, tenecteplase, and mechanical thrombectomy.
paragraph_136	C0948008	expected	3	3	paragraph_expected		Search: acute ischemic stroke with aphasia and right facial droop. CT angiography showed large vessel occlusion, tenecteplase was given, and mechanical thrombectomy was planned.	Stroke search paragraph should retrieve ischemic stroke, aphasia, facial droop, CT angiography, tenecteplase, and mechanical thrombectomy.
paragraph_136	C1536105	expected	3	3	paragraph_expected		Search: acute ischemic stroke with aphasia and right facial droop. CT angiography showed large vessel occlusion, tenecteplase was given, and mechanical thrombectomy was planned.	Stroke search paragraph should retrieve ischemic stroke, aphasia, facial droop, CT angiography, tenecteplase, and mechanical thrombectomy.
paragraph_136	C4534538	expected	3	3	paragraph_expected		Search: acute ischemic stroke with aphasia and right facial droop. CT angiography showed large vessel occlusion, tenecteplase was given, and mechanical thrombectomy was planned.	Stroke search paragraph should retrieve ischemic stroke, aphasia, facial droop, CT angiography, tenecteplase, and mechanical thrombectomy.
paragraph_136	C5392833	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Acute Ischemic Stroke		Explicit acute ischemic stroke concept.
paragraph_137	C0001927	expected	3	3	paragraph_expected		Search: asthma exacerbation with wheezing, shortness of breath, and low oxygen saturation. Nebulized albuterol and prednisone were given while pulse oximetry was monitored.	Asthma exacerbation paragraph should retrieve asthma exacerbation, wheezing, dyspnea, oxygen saturation, albuterol, prednisone, and pulse oximetry.
paragraph_137	C0013404	expected	3	3	paragraph_expected		Search: asthma exacerbation with wheezing, shortness of breath, and low oxygen saturation. Nebulized albuterol and prednisone were given while pulse oximetry was monitored.	Asthma exacerbation paragraph should retrieve asthma exacerbation, wheezing, dyspnea, oxygen saturation, albuterol, prednisone, and pulse oximetry.
paragraph_137	C0032952	expected	3	3	paragraph_expected		Search: asthma exacerbation with wheezing, shortness of breath, and low oxygen saturation. Nebulized albuterol and prednisone were given while pulse oximetry was monitored.	Asthma exacerbation paragraph should retrieve asthma exacerbation, wheezing, dyspnea, oxygen saturation, albuterol, prednisone, and pulse oximetry.
paragraph_137	C0034108	expected	3	3	paragraph_expected		Search: asthma exacerbation with wheezing, shortness of breath, and low oxygen saturation. Nebulized albuterol and prednisone were given while pulse oximetry was monitored.	Asthma exacerbation paragraph should retrieve asthma exacerbation, wheezing, dyspnea, oxygen saturation, albuterol, prednisone, and pulse oximetry.
paragraph_137	C0043144	expected	3	3	paragraph_expected		Search: asthma exacerbation with wheezing, shortness of breath, and low oxygen saturation. Nebulized albuterol and prednisone were given while pulse oximetry was monitored.	Asthma exacerbation paragraph should retrieve asthma exacerbation, wheezing, dyspnea, oxygen saturation, albuterol, prednisone, and pulse oximetry.
paragraph_137	C0349790	expected	3	3	paragraph_expected		Search: asthma exacerbation with wheezing, shortness of breath, and low oxygen saturation. Nebulized albuterol and prednisone were given while pulse oximetry was monitored.	Asthma exacerbation paragraph should retrieve asthma exacerbation, wheezing, dyspnea, oxygen saturation, albuterol, prednisone, and pulse oximetry.
paragraph_137	C0523807	expected	3	3	paragraph_expected		Search: asthma exacerbation with wheezing, shortness of breath, and low oxygen saturation. Nebulized albuterol and prednisone were given while pulse oximetry was monitored.	Asthma exacerbation paragraph should retrieve asthma exacerbation, wheezing, dyspnea, oxygen saturation, albuterol, prednisone, and pulse oximetry.
paragraph_138	C0005841	expected	3	3	paragraph_expected		Search: postpartum hemorrhage after delivery from uterine atony. Oxytocin was administered and blood transfusion was prepared because hemoglobin dropped.	Postpartum hemorrhage paragraph should retrieve postpartum hemorrhage, uterine atony, oxytocin, blood transfusion, and hemoglobin measurement.
paragraph_138	C0019046	expected	3	3	paragraph_expected		Search: postpartum hemorrhage after delivery from uterine atony. Oxytocin was administered and blood transfusion was prepared because hemoglobin dropped.	Postpartum hemorrhage paragraph should retrieve postpartum hemorrhage, uterine atony, oxytocin, blood transfusion, and hemoglobin measurement.
paragraph_138	C0030095	expected	3	3	paragraph_expected		Search: postpartum hemorrhage after delivery from uterine atony. Oxytocin was administered and blood transfusion was prepared because hemoglobin dropped.	Postpartum hemorrhage paragraph should retrieve postpartum hemorrhage, uterine atony, oxytocin, blood transfusion, and hemoglobin measurement.
paragraph_138	C0032797	expected	3	3	paragraph_expected		Search: postpartum hemorrhage after delivery from uterine atony. Oxytocin was administered and blood transfusion was prepared because hemoglobin dropped.	Postpartum hemorrhage paragraph should retrieve postpartum hemorrhage, uterine atony, oxytocin, blood transfusion, and hemoglobin measurement.
paragraph_138	C0042135	expected	3	3	paragraph_expected		Search: postpartum hemorrhage after delivery from uterine atony. Oxytocin was administered and blood transfusion was prepared because hemoglobin dropped.	Postpartum hemorrhage paragraph should retrieve postpartum hemorrhage, uterine atony, oxytocin, blood transfusion, and hemoglobin measurement.
paragraph_139	C0002645	expected	3	3	paragraph_expected		Search: child with fever, otalgia, and bulging tympanic membrane. Acute otitis media was diagnosed, and amoxicillin was prescribed.	Acute otitis media search paragraph should retrieve fever, ear pain, tympanic membrane, acute otitis media, and amoxicillin.
paragraph_139	C0013456	expected	3	3	paragraph_expected		Search: child with fever, otalgia, and bulging tympanic membrane. Acute otitis media was diagnosed, and amoxicillin was prescribed.	Acute otitis media search paragraph should retrieve fever, ear pain, tympanic membrane, acute otitis media, and amoxicillin.
paragraph_139	C0015967	expected	3	3	paragraph_expected		Search: child with fever, otalgia, and bulging tympanic membrane. Acute otitis media was diagnosed, and amoxicillin was prescribed.	Acute otitis media search paragraph should retrieve fever, ear pain, tympanic membrane, acute otitis media, and amoxicillin.
paragraph_139	C0041445	expected	3	3	paragraph_expected		Search: child with fever, otalgia, and bulging tympanic membrane. Acute otitis media was diagnosed, and amoxicillin was prescribed.	Acute otitis media search paragraph should retrieve fever, ear pain, tympanic membrane, acute otitis media, and amoxicillin.
paragraph_139	C0271429	expected	3	3	paragraph_expected		Search: child with fever, otalgia, and bulging tympanic membrane. Acute otitis media was diagnosed, and amoxicillin was prescribed.	Acute otitis media search paragraph should retrieve fever, ear pain, tympanic membrane, acute otitis media, and amoxicillin.
paragraph_14	C0004626	expected	3	3	paragraph_expected		Postoperative patient developed hypoxia with bibasilar infiltrates on chest radiograph. Sputum culture and elevated procalcitonin supported bacterial pneumonia, and oxygen therapy plus ceftriaxone were started.	Pneumonia paragraph should retrieve bacterial pneumonia, sputum culture, procalcitonin measurement, ceftriaxone, and hypoxia.
paragraph_14	C0007561	expected	3	3	paragraph_expected		Postoperative patient developed hypoxia with bibasilar infiltrates on chest radiograph. Sputum culture and elevated procalcitonin supported bacterial pneumonia, and oxygen therapy plus ceftriaxone were started.	Pneumonia paragraph should retrieve bacterial pneumonia, sputum culture, procalcitonin measurement, ceftriaxone, and hypoxia.
paragraph_14	C0184633	useful_extra	1	1.5	useful_extra_config	Oxygen Therapy Care		Explicit oxygen therapy treatment in pneumonia paragraph.
paragraph_14	C0242184	expected	3	3	paragraph_expected		Postoperative patient developed hypoxia with bibasilar infiltrates on chest radiograph. Sputum culture and elevated procalcitonin supported bacterial pneumonia, and oxygen therapy plus ceftriaxone were started.	Pneumonia paragraph should retrieve bacterial pneumonia, sputum culture, procalcitonin measurement, ceftriaxone, and hypoxia.
paragraph_14	C0523174	expected	3	3	paragraph_expected		Postoperative patient developed hypoxia with bibasilar infiltrates on chest radiograph. Sputum culture and elevated procalcitonin supported bacterial pneumonia, and oxygen therapy plus ceftriaxone were started.	Pneumonia paragraph should retrieve bacterial pneumonia, sputum culture, procalcitonin measurement, ceftriaxone, and hypoxia.
paragraph_14	C1535922	expected	3	3	paragraph_expected		Postoperative patient developed hypoxia with bibasilar infiltrates on chest radiograph. Sputum culture and elevated procalcitonin supported bacterial pneumonia, and oxygen therapy plus ceftriaxone were started.	Pneumonia paragraph should retrieve bacterial pneumonia, sputum culture, procalcitonin measurement, ceftriaxone, and hypoxia.
paragraph_140	C0020461	expected	3	3	paragraph_expected		Search: acute kidney injury with hyperkalemia after lisinopril dose increase. Electrocardiogram showed peaked T waves, sodium zirconium cyclosilicate was given, and nephrology held lisinopril.	AKI hyperkalemia search paragraph should retrieve acute kidney injury, hyperkalemia, lisinopril, electrocardiogram/T-wave finding, and sodium zirconium cyclosilicate.
paragraph_140	C0037473	useful_extra	1	1.5	useful_extra_config | precision_audit_review	sodium		Explicit sodium zirconium cyclosilicate component in hyperkalemia paragraph.
paragraph_140	C0065374	expected	3	3	paragraph_expected		Search: acute kidney injury with hyperkalemia after lisinopril dose increase. Electrocardiogram showed peaked T waves, sodium zirconium cyclosilicate was given, and nephrology held lisinopril.	AKI hyperkalemia search paragraph should retrieve acute kidney injury, hyperkalemia, lisinopril, electrocardiogram/T-wave finding, and sodium zirconium cyclosilicate.
paragraph_140	C1623258	expected	3	3	paragraph_expected		Search: acute kidney injury with hyperkalemia after lisinopril dose increase. Electrocardiogram showed peaked T waves, sodium zirconium cyclosilicate was given, and nephrology held lisinopril.	AKI hyperkalemia search paragraph should retrieve acute kidney injury, hyperkalemia, lisinopril, electrocardiogram/T-wave finding, and sodium zirconium cyclosilicate.
paragraph_140	C2609414	expected	3	3	paragraph_expected		Search: acute kidney injury with hyperkalemia after lisinopril dose increase. Electrocardiogram showed peaked T waves, sodium zirconium cyclosilicate was given, and nephrology held lisinopril.	AKI hyperkalemia search paragraph should retrieve acute kidney injury, hyperkalemia, lisinopril, electrocardiogram/T-wave finding, and sodium zirconium cyclosilicate.
paragraph_140	C4045824	expected	3	3	paragraph_expected		Search: acute kidney injury with hyperkalemia after lisinopril dose increase. Electrocardiogram showed peaked T waves, sodium zirconium cyclosilicate was given, and nephrology held lisinopril.	AKI hyperkalemia search paragraph should retrieve acute kidney injury, hyperkalemia, lisinopril, electrocardiogram/T-wave finding, and sodium zirconium cyclosilicate.
paragraph_141	C0003232	expected	3	3	paragraph_expected		He reports watery diarrhea after recent antibiotic use.	Antibiotic-associated watery diarrhea should retrieve antibiotic-associated diarrhea, diarrhea, and antibiotics without oncology drug classes or unrelated surgery recovery concepts.
paragraph_141	C0003392	disallowed	-2	3	paragraph_expected		He reports watery diarrhea after recent antibiotic use.	Antibiotic-associated watery diarrhea should retrieve antibiotic-associated diarrhea, diarrhea, and antibiotics without oncology drug classes or unrelated surgery recovery concepts.
paragraph_141	C0011991	expected	3	3	paragraph_expected		He reports watery diarrhea after recent antibiotic use.	Antibiotic-associated watery diarrhea should retrieve antibiotic-associated diarrhea, diarrhea, and antibiotics without oncology drug classes or unrelated surgery recovery concepts.
paragraph_141	C0362063	disallowed	-2	3	paragraph_expected		He reports watery diarrhea after recent antibiotic use.	Antibiotic-associated watery diarrhea should retrieve antibiotic-associated diarrhea, diarrhea, and antibiotics without oncology drug classes or unrelated surgery recovery concepts.
paragraph_141	C0578159	expected	3	3	paragraph_expected		He reports watery diarrhea after recent antibiotic use.	Antibiotic-associated watery diarrhea should retrieve antibiotic-associated diarrhea, diarrhea, and antibiotics without oncology drug classes or unrelated surgery recovery concepts.
paragraph_141	C0740441	true_false_positive	-2	4	precision_audit_review	Acute diarrhea		Unanchored acute-diarrhea vector drift; base diarrhea and antibiotic-associated diarrhea are already expected or acceptable.
paragraph_141	C3842347	true_false_positive	-2	4	precision_audit_review	Diarrhea/constipation		Unanchored diarrhea-constipation aggregate drift; base diarrhea is already expected.
paragraph_141	C5197734	disallowed	-2	3	paragraph_expected		He reports watery diarrhea after recent antibiotic use.	Antibiotic-associated watery diarrhea should retrieve antibiotic-associated diarrhea, diarrhea, and antibiotics without oncology drug classes or unrelated surgery recovery concepts.
paragraph_142	C0000970	expected	3	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0003211	expected	3	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0012291	expected	3	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0024480	expected	3	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0030768	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0075632	expected	3	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0206176	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0206488	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0338489	expected	3	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0541653	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C0730229	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C1709941	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C3846076	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_142	C5418818	disallowed	-2	3	paragraph_expected		A review article summarized status migrainosus as a persistent migraine attack lasting more than 72 hours and discussed treatment with subcutaneous sumatriptan, nonsteroidal anti-inflammatory drugs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Review-article wording should retrieve the migraine condition and treatments without treating the word review as peer-review metadata.
paragraph_143	C0011849	expected	3	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0020538	expected	3	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0021641	expected	3	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0030768	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0043031	expected	3	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0065374	expected	3	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0206176	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0206488	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0541653	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C0730229	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C1709941	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C3846076	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_143	C5418818	disallowed	-2	3	paragraph_expected		Medication reconciliation reviewed diabetes mellitus, hypertension, warfarin, insulin, and lisinopril before discharge.	Medication-review wording should retrieve the actual conditions and drugs without returning peer-review or chart-review administrative concepts.
paragraph_144	C0014591	expected	3	3	paragraph_expected		Anticoagulation clinic reviewed supratherapeutic INR with epistaxis after warfarin dose changes, administered vitamin K, and scheduled repeat INR testing.	Anticoagulation review wording should retrieve INR, warfarin, vitamin K, and epistaxis without administrative review concepts.
paragraph_144	C0030768	disallowed	-2	3	paragraph_expected		Anticoagulation clinic reviewed supratherapeutic INR with epistaxis after warfarin dose changes, administered vitamin K, and scheduled repeat INR testing.	Anticoagulation review wording should retrieve INR, warfarin, vitamin K, and epistaxis without administrative review concepts.
paragraph_144	C0042878	expected	3	3	paragraph_expected		Anticoagulation clinic reviewed supratherapeutic INR with epistaxis after warfarin dose changes, administered vitamin K, and scheduled repeat INR testing.	Anticoagulation review wording should retrieve INR, warfarin, vitamin K, and epistaxis without administrative review concepts.
paragraph_144	C0043031	expected	3	3	paragraph_expected		Anticoagulation clinic reviewed supratherapeutic INR with epistaxis after warfarin dose changes, administered vitamin K, and scheduled repeat INR testing.	Anticoagulation review wording should retrieve INR, warfarin, vitamin K, and epistaxis without administrative review concepts.
paragraph_144	C0206176	disallowed	-2	3	paragraph_expected		Anticoagulation clinic reviewed supratherapeutic INR with epistaxis after warfarin dose changes, administered vitamin K, and scheduled repeat INR testing.	Anticoagulation review wording should retrieve INR, warfarin, vitamin K, and epistaxis without administrative review concepts.
